code,date,price
286940,2021-02-26,39450
286940,2021-02-25,40600
286940,2021-02-24,39900
286940,2021-02-23,41400
286940,2021-02-22,41300
027740,2021-04-05,708
027740,2021-04-02,707
027740,2021-04-01,712
027740,2021-03-31,713
027740,2021-03-30,712
027740,2021-03-29,707
027740,2021-03-26,708
027740,2021-03-25,711
027740,2021-03-24,712
027740,2021-03-23,710
027740,2021-03-22,731
027740,2021-03-19,731
027740,2021-03-18,730
027740,2021-03-17,732
027740,2021-03-16,725
027740,2021-03-15,720
027740,2021-03-12,715
027740,2021-03-11,711
027740,2021-03-10,722
027740,2021-03-09,702
027740,2021-03-08,712
027740,2021-03-05,705
027740,2021-03-04,704
027740,2021-03-03,705
027740,2021-03-02,698
027740,2021-02-26,699
027740,2021-02-25,699
027740,2021-02-24,693
027740,2021-02-23,708
027740,2021-02-22,706
008560,2021-04-05,4480
008560,2021-04-02,4510
008560,2021-04-01,4580
008560,2021-03-31,4610
008560,2021-03-30,4420
008560,2021-03-29,4365
008560,2021-03-26,4370
008560,2021-03-25,4320
008560,2021-03-24,4360
008560,2021-03-23,4455
008560,2021-03-22,4520
008560,2021-03-19,4485
008560,2021-03-18,4335
008560,2021-03-17,4365
008560,2021-03-16,4400
008560,2021-03-15,4370
008560,2021-03-12,4255
008560,2021-03-11,4235
008560,2021-03-10,4095
008560,2021-03-09,4105
008560,2021-03-08,4105
008560,2021-03-05,4050
008560,2021-03-04,4020
008560,2021-03-03,3945
008560,2021-03-02,3835
008560,2021-02-26,3760
008560,2021-02-25,3785
008560,2021-02-24,3745
008560,2021-02-23,3805
008560,2021-02-22,3790
017180,2021-04-05,5120
017180,2021-04-02,5200
017180,2021-04-01,5170
017180,2021-03-31,5200
017180,2021-03-30,5250
017180,2021-03-29,5210
017180,2021-03-26,5340
017180,2021-03-25,5320
017180,2021-03-24,5460
017180,2021-03-23,5530
017180,2021-03-22,5550
017180,2021-03-19,5680
017180,2021-03-18,5750
017180,2021-03-17,5900
017180,2021-03-16,5760
017180,2021-03-15,5360
017180,2021-03-12,5420
017180,2021-03-11,5230
017180,2021-03-10,5260
017180,2021-03-09,5220
017180,2021-03-08,5250
017180,2021-03-05,5550
017180,2021-03-04,5500
017180,2021-03-03,5660
017180,2021-03-02,5580
017180,2021-02-26,5550
017180,2021-02-25,5710
017180,2021-02-24,5660
017180,2021-02-23,5950
017180,2021-02-22,6070
204210,2021-04-05,3500
204210,2021-04-02,3470
204210,2021-04-01,3430
204210,2021-03-31,3400
204210,2021-03-30,3340
204210,2021-03-29,3340
204210,2021-03-26,3310
204210,2021-03-25,3280
204210,2021-03-24,3275
204210,2021-03-23,3260
204210,2021-03-22,3285
204210,2021-03-19,3275
204210,2021-03-18,3250
204210,2021-03-17,3245
204210,2021-03-16,3215
204210,2021-03-15,3210
204210,2021-03-12,3165
204210,2021-03-11,3085
204210,2021-03-10,3060
204210,2021-03-09,3070
204210,2021-03-08,3125
204210,2021-03-05,3105
204210,2021-03-04,3140
204210,2021-03-03,3160
204210,2021-03-02,3130
204210,2021-02-26,3090
204210,2021-02-25,3120
204210,2021-02-24,3080
204210,2021-02-23,3155
204210,2021-02-22,3160
001270,2021-04-05,23400
001270,2021-04-02,22850
001270,2021-04-01,22850
001270,2021-03-31,22750
001270,2021-03-30,22550
001270,2021-03-29,22450
001270,2021-03-26,22450
001270,2021-03-25,22400
001270,2021-03-24,22400
001270,2021-03-23,22300
001270,2021-03-22,22300
001270,2021-03-19,22100
001270,2021-03-18,22100
001270,2021-03-17,22000
001270,2021-03-16,21850
001270,2021-03-15,21850
001270,2021-03-12,21850
001270,2021-03-11,21900
001270,2021-03-10,21600
001270,2021-03-09,21600
001270,2021-03-08,21900
001270,2021-03-05,22550
001270,2021-03-04,22300
001270,2021-03-03,22300
001270,2021-03-02,21850
001270,2021-02-26,21850
001270,2021-02-25,21850
001270,2021-02-24,21550
001270,2021-02-23,21900
001270,2021-02-22,21800
006400,2021-04-05,655000
006400,2021-04-02,668000
006400,2021-04-01,667000
006400,2021-03-31,660000
006400,2021-03-30,670000
006400,2021-03-29,651000
006400,2021-03-26,647000
006400,2021-03-25,635000
006400,2021-03-24,635000
006400,2021-03-23,624000
006400,2021-03-22,642000
006400,2021-03-19,661000
006400,2021-03-18,662000
006400,2021-03-17,639000
006400,2021-03-16,680000
006400,2021-03-15,686000
006400,2021-03-12,689000
006400,2021-03-11,687000
006400,2021-03-10,636000
006400,2021-03-09,636000
006400,2021-03-08,650000
006400,2021-03-05,671000
006400,2021-03-04,678000
006400,2021-03-03,696000
006400,2021-03-02,684000
006400,2021-02-26,674000
006400,2021-02-25,704000
